part_id,sday_id,dayofweek,month,year,day,wave
10820901,2020.12.22,2,12,2020,22,1
10821001,2020.12.22,2,12,2020,22,1
10821101,2020.12.22,2,12,2020,22,1
10821201,2020.12.22,2,12,2020,22,1
10821301,2020.12.22,2,12,2020,22,1
10821401,2020.12.22,2,12,2020,22,1
10821501,2020.12.22,2,12,2020,22,1
10821601,2020.12.22,2,12,2020,22,1
10821701,2020.12.22,2,12,2020,22,1
10821801,2020.12.22,2,12,2020,22,1
10821901,2020.12.22,2,12,2020,22,1
10822001,2020.12.22,2,12,2020,22,1
10822101,2020.12.22,2,12,2020,22,1
10822201,2020.12.22,2,12,2020,22,1
10822301,2020.12.22,2,12,2020,22,1
10822401,2020.12.22,2,12,2020,22,1
10822501,2020.12.22,2,12,2020,22,1
10822601,2020.12.22,2,12,2020,22,1
10822701,2020.12.22,2,12,2020,22,1
10822801,2020.12.22,2,12,2020,22,1
10822901,2020.12.22,2,12,2020,22,1
10823001,2020.12.22,2,12,2020,22,1
10823101,2020.12.22,2,12,2020,22,1
10823201,2020.12.22,2,12,2020,22,1
10823301,2020.12.22,2,12,2020,22,1
10823401,2020.12.22,2,12,2020,22,1
10823501,2020.12.22,2,12,2020,22,1
10823601,2020.12.22,2,12,2020,22,1
10823701,2020.12.22,2,12,2020,22,1
10823801,2020.12.22,2,12,2020,22,1
10823901,2020.12.22,2,12,2020,22,1
10824001,2020.12.22,2,12,2020,22,1
10824201,2020.12.22,2,12,2020,22,1
10824301,2020.12.22,2,12,2020,22,1
10824401,2020.12.22,2,12,2020,22,1
10824501,2020.12.22,2,12,2020,22,1
10824601,2020.12.22,2,12,2020,22,1
10824701,2020.12.22,2,12,2020,22,1
10824901,2020.12.22,2,12,2020,22,1
10825001,2020.12.22,2,12,2020,22,1
10825101,2020.12.22,2,12,2020,22,1
10825201,2020.12.22,2,12,2020,22,1
10825301,2020.12.22,2,12,2020,22,1
10825401,2020.12.22,2,12,2020,22,1
10825501,2020.12.22,2,12,2020,22,1
